arpabet,character,1_before,2_before,3_before,1_after,2_after,3_after
AA,A,1.02057510387,1.28354882693,1.17559762497,0.33874432218,0.958176757736,1.3056978555
AA,O,0.789935221107,1.54136612895,1.38650907151,NONE,1.27278652698,1.45624377895
AA,AU,1.04203994293,0.961745352567,1.13120487721,NONE,1.483306024,1.56740787709
IY,I,0.40690172644,0.912545315023,1.19137028168,1.22913956448,1.50031465592,1.41991461928
IY,E,0.48807329636,1.54708634115,1.44643746776,1.34854291484,1.50982536869,1.55280559888
IY,EE,0.479700533924,1.44288794827,1.40609568387,0.330144586356,1.57262251104,1.40331935249
IY,EA,0.599629102065,1.50530888861,1.38713367241,0.647940696421,1.48070515074,1.46935189278
IY,Y,0.371944575487,1.0137028184,1.02528334829,0.468112009403,0.415386189917,0.395359137979
R,R,1.33872583726,1.52025422467,1.53694297182,0.953141082292,1.25919738942,1.55439316798
R,RE,0.611972053587,1.04023881323,1.56253259144,0.741475884265,1.37807990924,1.30173448404
CH,CH,1.43341867612,1.40148018294,1.10799201446,0.707502648411,1.02241675386,1.56309717639
AE,E,NONE,1.31191266591,1.34347025686,NONE,NONE,NONE
AE,A,1.04092117998,1.38630950621,1.15618017852,0.3450799719,1.29950131044,1.48169960017
AE,AY,NONE,NONE,NONE,NONE,NONE,NONE
EH,E,0.817517838242,1.57628072445,1.50220735541,0.190364192145,1.3863290598,1.51898656782
EH,AE,0.416874757434,0.335775029902,0.313517726033,0.152721384953,0.984104564688,1.20626165592
DH,DH,NONE,NONE,NONE,NONE,NONE,NONE
DH,TH,0.522637864123,1.0353299193,1.30605098519,0.886881245935,1.43602483933,1.34382250155
AH,U,1.25853071704,1.53598333466,1.48845094859,NONE,1.44717051896,1.58013279942
AH,O,0.745061990677,1.53957209872,1.5561820508,0.198010624624,1.24097583896,1.43400703595
AH,A,1.21827033927,1.5088956065,1.56011234852,0.503143123937,1.36805992031,1.35763633198
AH,E,0.623354586888,1.38838993861,1.47753099915,0.128072411676,1.55557699465,1.44268376703
AH,I,0.475334379929,1.10656174628,1.32296841387,0.408535598617,1.28370659437,1.26918396613
AH,OU,1.06360121778,1.3901909645,1.43392028663,NONE,1.34107618007,1.35607277356
AO,O,0.784410019547,1.57583363177,1.42093013128,NONE,1.35541635016,1.47651971632
AO,AU,1.1047226144,1.05458075131,0.770910153618,0.435902604751,1.22137369373,1.44286743104
AO,OUGH,NONE,NONE,NONE,NONE,NONE,NONE
Y,Y,1.22576731451,1.2213794027,0.771161035533,0.588731277339,0.706703769121,1.48239370164
Y,I,0.146519589058,0.497613312608,0.832918014086,NONE,1.26020907588,1.27856305396
